# ndens	phi_ion
1.652214522198343711e-08 1.689613317197890147e-13
2.718483856495277409e-08 2.601983155180333242e-14
1.346811339542030625e-08 2.390249174144486944e-15
6.451102839272154701e-09 7.562113389386687615e-14
1.871890293146485950e-08 1.277346623316512409e-15
1.916311395066711789e-08 6.509924998524652585e-16
3.700641633415115843e-09 4.148934998680424281e-14
4.207748516019404663e-08 6.533378752962430560e-15
1.389340914219798618e-09 2.034816479570458968e-16
1.405478321350523675e-08 4.808443671793500022e-14
1.797416928069981701e-08 4.548958675240503246e-13
6.299937169979191930e-09 7.322807137749309873e-14
1.000535319402473447e-09 3.787323824310452201e-17
1.832592381181990503e-08 5.860825789263877000e-15
1.742180229805810941e-09 2.222005613619101207e-17
5.075492268639313737e-09 7.703854731179555783e-16
1.461302617963767699e-08 1.626939740113689254e-17
7.038381919162416474e-09 1.076607169210436315e-16
3.438787652753631266e-09 1.582336863372211021e-13
2.804429545243273345e-08 3.712789560204127135e-17
8.033507144866530585e-09 2.643488280594549872e-16
9.035372733921825780e-09 1.784496594327214116e-13
1.298675563063614957e-09 5.091036962255902755e-14
1.985812043100760331e-09 5.752889542734718680e-17
3.404529359607301537e-08 2.983510550391541623e-14
4.561556536774487956e-08 8.452728451406281545e-14
5.791159606237146260e-08 6.452686174593519142e-14
2.826424092142337886e-08 2.885081397620022356e-17
1.611748668502878584e-09 5.514282960780174679e-13
8.391947543284568238e-08 3.708411884097656070e-14
3.768656548988443215e-08 1.409267355839236738e-14
2.743920825351017015e-09 1.019940579072893566e-14
7.289353414474692700e-08 1.559802018168325380e-16
4.043453572652853953e-08 3.421666568141157040e-13
2.200025544977447218e-08 1.590312223900781803e-14
2.362312753572908895e-08 4.072543509316708746e-14
2.066674709160366133e-09 1.488989662165623580e-15
7.056899517041220272e-09 5.485286446261516517e-17
7.847307346077693426e-09 3.054314930989634314e-15
1.188491386239118217e-08 1.373112915404559948e-14
4.576216167335147992e-08 2.194782178507601840e-14
3.024219833088307761e-09 2.484923542808527885e-17
7.534770971014154125e-08 1.364925761901852774e-15
2.778443707221326983e-09 9.317909100485746374e-16
6.034472087530609189e-08 6.716302385108603034e-17
1.549331392580484977e-08 5.298188013671626251e-16
1.338628011713212298e-08 2.571053326326696834e-15
1.600949310729228661e-08 4.995290407115543179e-13
4.724196535618439780e-09 7.386635028298112357e-13
3.289111410146011753e-09 4.167812786919033196e-15
3.823951984035033293e-08 2.845846339533817377e-16
5.296956886212476334e-09 6.957507097628461912e-15
1.369324881764908173e-08 2.429522948181133908e-16
1.909835185764116413e-08 8.505382733117244128e-13
7.704127759830552774e-09 1.304320178057821811e-17
1.964629763556530700e-09 5.037261217235666229e-16
9.622142767607201159e-08 4.285784422125641708e-16
3.702182801304239198e-08 4.763188479281191053e-17
4.022430212433567058e-09 1.530180520062238071e-16
5.984514571398703453e-08 2.452913346781964506e-13
1.398044404445061423e-09 2.170761064776438635e-14
1.053868522938913971e-08 5.743428659027927502e-15
4.308691789518205601e-09 1.530138744644253543e-13
6.288568907566281436e-08 7.968159097205700554e-17
1.208559886233437979e-09 1.263628905609100687e-13
1.520184198040000700e-08 1.209335558435877614e-17
3.814970436585498112e-09 7.003353810823450436e-17
3.877655733337259180e-08 1.735027873803399791e-14
3.973121351188042500e-08 2.949376420849332951e-13
3.530229617790454257e-08 1.133188745799050599e-13
2.372871204853360262e-08 9.735126038075720952e-16
1.015519316916309859e-09 2.446306939736843363e-15
6.824762529313088348e-09 3.811190996381327348e-17
1.970443393233041707e-08 2.984942410713994361e-15
6.731230052440219103e-08 1.089738431107108576e-14
1.063911824228725943e-08 2.499886279727025097e-16
1.036885769513844137e-09 1.812321891196750319e-14
6.907892235552044981e-09 5.613744962638818494e-16
1.072330550481585801e-08 6.836562564360286200e-15
9.418970199668778949e-09 1.775467553537667876e-17
3.078397828778416869e-09 1.137699817468353450e-13
4.251810105416894454e-09 3.738606261231823984e-17
6.935101609510200411e-09 8.132436029267583861e-17
2.146238350412767298e-08 2.100714239823716455e-16
7.810766820432735613e-09 2.063562487452696197e-16
4.126692789547668199e-08 9.617064782142002742e-15
2.242565407420326900e-09 2.817874682607159894e-17
4.496911830693312368e-08 5.982341842660004225e-17
8.251702791102855190e-08 2.315407622358687721e-15
4.789460423456786055e-08 3.540994692266952124e-13
8.168753211218290603e-09 2.811219442653318848e-13
4.027417053614309134e-08 2.373229630172115267e-13
2.112685981308309173e-08 5.280291289230417182e-14
2.695555607644522051e-08 9.728337888979158189e-13
1.675659974454607039e-08 1.194705314732956578e-16
7.299546905298479286e-09 7.948758378389792607e-15
2.404270793393910488e-08 1.060217349373387043e-13
1.021233981345528861e-08 2.706414894375988111e-17
1.434951828396814761e-08 6.757792196313886201e-16
5.640309924083097911e-09 3.712690711705757991e-13
3.009817827012094903e-09 2.670819801666066409e-17
3.825069944573231434e-09 4.231859179931669460e-17
8.514508346969122645e-08 8.064729543552465642e-13
2.798962293206022690e-09 6.481065707503494459e-15
1.062668114657545769e-09 1.005708973617340774e-13
1.983822598087202201e-08 4.118993426471956701e-14
3.918421763126704853e-08 2.281956473729842584e-16
7.800117730324497335e-08 5.574949400743129512e-17
2.167551518838307811e-08 6.854220485832583017e-17
1.573374163051068137e-09 1.881122545612739068e-13
7.871948097361574704e-08 2.227271784602384102e-16
3.900249591578702491e-08 7.356145905968196743e-13
1.777026904059663086e-08 2.105764015870029753e-15
4.537672414648305355e-08 4.791475604609900702e-15
4.526715495394801384e-08 3.000751295204935278e-15
8.585691314434876201e-08 4.469540481340154969e-14
9.003354292251224210e-08 3.368589338946008266e-17
1.145703956640276017e-09 5.701648504736085144e-15
1.862239553087583152e-08 9.554067832804916979e-17
2.043584512812204516e-09 4.860115524768615218e-14
1.308462489905068385e-09 1.284279661765243653e-17
1.020791614178722154e-09 1.403936063100643350e-17
2.060431730032841449e-08 3.010875459057160700e-15
